4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,toilet_ic,1.0,18.5,2.0,19.0,1,0,1,0,0,0,0,0,0,0,0
3102,backup,2.0,21.9,2.0,21.9,0,0,0,0,0,0,0,0,0,0,0
3103,toilet_ic,1.0,17.2,2.0,17.2,1,0,0,0,0,0,0,0,0,0,0
3104,management,2.0,18.4,2.0,19.9,0,0,0,0,0,0,0,0,0,0,1
3105,backup,2.0,25.5,2.0,26.0,0,0,1,0,0,0,0,0,0,0,0
3106,ground_floor_ic,2.0,22.0,2.0,26.0,0,0,1,0,0,0,0,0,0,1,0
3107,corridor_ic,2.0,19.0,2.0,21.5,0,0,0,0,0,0,0,1,0,0,0
3108,ground_floor_ic,2.0,18.0,2.0,21.5,0,0,0,0,0,0,0,0,0,1,0
3109,staircase_ic,2.0,18.0,2.0,20.5,0,0,0,0,0,0,0,0,1,0,0
3110,toilet_ic,1.0,20.9,2.0,20.9,1,0,0,0,0,0,0,0,0,0,0
3112,bunk_ic,2.0,17.4,2.0,21.9,0,0,1,0,0,0,1,0,0,0,0
3113,backup,2.0,21.2,2.0,21.9,0,0,0,1,0,0,0,0,0,0,0
3114,bunk_ic,2.0,14.9,2.0,21.9,0,1,0,0,0,1,0,0,0,0,0
3115,bunk_ic,2.0,15.0,2.0,19.4,0,0,0,0,1,1,0,0,0,0,0
3116,backup,2.0,21.0,2.0,21.5,0,0,1,0,0,0,0,0,0,0,0
