4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,management,1.0,10.0,1.0,12.0,0,0,1,0,0,0,0,0,0,0,1
3102,backup,1.0,10.5,1.0,10.5,0,0,0,0,0,0,0,0,0,0,0
3103,bunk_ic,1.0,8.8,1.0,12.8,0,0,0,0,0,0,1,0,0,0,0
3104,bunk_ic,1.0,8.5,1.0,12.9,0,0,0,0,1,1,0,0,0,0,0
3105,backup,1.0,16.5,1.0,17.0,0,0,1,0,0,0,0,0,0,0,0
3106,ground_floor_ic,1.0,13.0,1.0,17.0,0,0,1,0,0,0,0,0,0,1,0
3107,toilet_ic,1.0,11.5,2.0,11.5,1,0,0,0,0,0,0,0,0,0,0
3108,corridor_ic,1.0,12.0,1.0,14.5,0,0,0,0,0,0,0,1,0,0,0
3109,toilet_ic,1.0,8.5,2.0,8.5,1,0,0,0,0,0,0,0,0,0,0
3110,staircase_ic,1.0,9.0,1.0,11.5,0,0,0,0,0,0,0,0,1,0,0
3112,bunk_ic,1.0,8.4,1.0,15.9,0,1,1,0,0,1,0,0,0,0,0
3113,toilet_ic,1.0,11.4,2.0,12.1,1,0,0,1,0,0,0,0,0,0,0
3114,backup,1.0,11.4,1.0,11.4,0,0,0,0,0,0,0,0,0,0,0
3115,backup,1.0,11.0,1.0,11.0,0,0,0,0,0,0,0,0,0,0,0
3116,ground_floor_ic,1.0,10.0,1.0,14.0,0,0,1,0,0,0,0,0,0,1,0
