4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,bunk_ic,0.0,5.0,0.0,9.5,0,0,1,0,0,0,1,0,0,0,0
3102,backup,1.0,7.0,1.0,7.0,0,0,0,0,0,0,0,0,0,0,0
3103,bunk_ic,1.0,4.4,1.0,8.8,0,0,0,0,1,1,0,0,0,0,0
3104,management,1.0,5.5,1.0,7.0,0,0,0,0,0,0,0,0,0,0,1
3105,ground_floor_ic,1.0,8.5,1.0,12.5,0,0,1,0,0,0,0,0,0,1,0
3106,toilet_ic,0.0,5.0,1.0,5.5,1,0,1,0,0,0,0,0,0,0,0
3107,corridor_ic,1.0,6.5,1.0,9.0,0,0,0,0,0,0,0,1,0,0,0
3108,toilet_ic,0.0,12.0,1.0,12.0,1,0,0,0,0,0,0,0,0,0,0
3109,toilet_ic,0.0,6.0,1.0,6.0,1,0,0,0,0,0,0,0,0,0,0
3110,staircase_ic,0.0,6.5,0.0,9.0,0,0,0,0,0,0,0,0,1,0,0
3112,backup,1.0,7.4,1.0,7.9,0,0,1,0,0,0,0,0,0,0,0
3113,backup,1.0,5.6,1.0,6.3,0,0,0,1,0,0,0,0,0,0,0
3114,bunk_ic,1.0,4.4,1.0,11.4,0,1,0,0,0,1,0,0,0,0,0
3115,backup,1.0,7.0,1.0,7.0,0,0,0,0,0,0,0,0,0,0,0
3116,ground_floor_ic,0.0,5.5,0.0,9.5,0,0,1,0,0,0,0,0,0,1,0
